word,cluster,x,y
gov,6,4.394537,2.3716073
flight,0,7.3624735,7.4691496
hollywood,3,3.8761117,0.6673133
pope,5,-8.41945,-7.7369285
quarterback,5,-9.183581,-8.260091
android,1,-9.102828,3.1841629
movie,5,-0.44074747,4.4550924
ftse,6,-8.594819,9.019458
webb,3,-7.4061327,-5.044495
theater,5,-5.3521476,-9.16914
stock,1,-2.5282028,4.0382447
abel,6,-7.7444334,8.955528
rapper,6,0.3541615,-8.655714
victory,0,-1.0185864,-0.38185793
postseason,1,-14.651571,1.4000844
rebel,2,7.3132553,13.110381
lse,6,5.3773227,1.310221
yemen,6,0.6336927,1.9397413
banking,5,-5.3551893,-11.81147
analytic,4,0.6841023,5.919998
musician,6,9.344299,1.1201026
hardware,5,-10.346365,10.446455
inning,6,3.2371905,-11.508882
iot,1,5.081718,-5.4677634
crude,0,-12.340312,8.855215
drama,3,-7.6255274,-2.5612445
oil,0,11.467227,5.0211086
hampshire,4,-1.4544191,7.293366
donovan,6,13.837194,-4.8709936
otc,5,1.6043465,9.882869
episode,6,0.49940652,0.6443751
islamic,4,-11.4398985,-0.37724456
admin,0,1.1852504,3.578324
dining,5,2.243097,-11.188646
interface,4,7.316652,13.304447
google,3,-3.5397294,11.876798
data,6,-2.8412626,-5.285554
senator,1,12.994192,-5.44976
touchdown,3,-1.0074943,-2.215069
airways,2,3.3741872,6.924203
ipad,4,-2.2650573,4.7994432
offense,5,-3.2144454,-5.7165446
leisure,1,3.2386339,-5.9255247
symkus,1,-2.9046478,0.39772043
sen,6,-2.4930618,-1.2842901
mets,5,-5.8198147,-5.4197593
sand,3,-7.8570776,-3.2732441
chafee,5,0.9389011,-8.5548115
civilian,4,-2.9450538,6.5728297
theatre,6,5.4402113,3.357814
aide,4,-12.484506,4.933369
homer,0,-14.382429,1.4654155
debate,3,-5.069859,11.539617
earning,5,2.6389637,11.724121
booking,2,3.515094,6.9731746
loan,2,9.922156,-6.3240943
yard,3,-6.0687833,-4.764327
actress,6,3.7968986,-0.50088644
randy,1,-1.1498244,-2.5784261
goal,0,10.187119,2.640426
kurdish,0,-1.8664995,-1.8623337
baseball,1,2.2022648,-5.500531
holiday,6,12.704159,1.4181417
informational,2,8.482516,3.9062893
iphone,2,-1.2707648,2.7449563
airport,6,-7.056683,2.986535
hungary,0,-9.111093,-2.5891414
militant,2,-0.8333547,-6.8677263
league,4,-12.241045,5.720336
airlines,4,-10.633362,1.7912374
vacation,0,3.2960968,9.325877
equity,1,-2.6207697,12.377028
dividend,1,7.150832,-5.359957
route,1,-10.307003,3.5484376
bush,1,11.025423,10.860266
interception,5,-0.41183022,7.308571
senate,2,9.324316,8.77406
mobile,6,7.7706256,-9.588627
music,1,-3.9953368,4.93484
fed,2,5.0289907,11.713646
character,5,-6.187247,-8.599902
iran,2,9.025616,3.216972
coach,1,6.2929177,-6.117221
musical,1,-10.7184925,-4.0657935
cloud,4,-5.8762603,4.68285
lamar,1,-11.333491,4.441655
nato,3,7.728362,0.49352413
passenger,3,-7.3402586,0.5047537
comedian,6,11.27225,-2.1066153
clinton,0,-0.9632623,-6.766396
ball,5,-4.117676,-8.216369
debt,4,0.43195167,13.263111
syrian,1,3.550722,14.297627
taliban,1,-5.692255,7.427093
song,3,8.077433,0.8984684
palestinian,0,-6.909053,5.518941
candidate,2,-3.8079917,-2.7871857
aviation,4,12.295744,8.12684
jays,4,-9.132047,4.3337336
